IP:PORT, LOSS, DELAY
[2606:4700:d0::1866:be6e:3446:7f29]:878,0.00%,timeout ms
[2606:4700:d0::2bc3:84b6:f0cd:2bb2]:3854,0.00%,timeout ms
[2606:4700:d0::16b7:644:9796:37f]:3854,0.00%,timeout ms
[2606:4700:d0::16b7:644:9796:37f]:878,0.00%,timeout ms
[2606:4700:d0::194:b1ca:43f7:9eb4]:3854,0.00%,timeout ms
[2606:4700:d0::1866:be6e:3446:7f29]:3854,0.00%,timeout ms
[2606:4700:d0::194:b1ca:43f7:9eb4]:878,0.00%,timeout ms
[2606:4700:d0::659:dbdc:f6f8:cbef]:878,0.00%,timeout ms
[2606:4700:d0::18f1:c088:c44e:4e8d]:3854,0.00%,timeout ms
[2606:4700:d0::2bc3:84b6:f0cd:2bb2]:878,0.00%,timeout ms
[2606:4700:d0::82a8:febc:cc04:56ad]:878,0.00%,timeout ms
[2606:4700:d0::2d1:30c6:f8c7:ab3d]:3854,0.00%,timeout ms
[2606:4700:d0::18f1:c088:c44e:4e8d]:878,0.00%,timeout ms
[2606:4700:d0::734a:8443:8422:3402]:3854,0.00%,timeout ms
[2606:4700:d0::2d1:30c6:f8c7:ab3d]:878,0.00%,timeout ms
[2606:4700:d0::88d2:d400:862d:5e02]:878,0.00%,timeout ms
[2606:4700:d0::734a:8443:8422:3402]:878,0.00%,timeout ms
[2606:4700:d0::2d6c:a118:bd1e:e633]:3854,0.00%,timeout ms
[2606:4700:d0::77d5:efea:d77f:e923]:3854,0.00%,timeout ms
[2606:4700:d0::87ce:a4a6:1fba:1e64]:3854,0.00%,timeout ms
[2606:4700:d0::2d6c:a118:bd1e:e633]:878,0.00%,timeout ms
[2606:4700:d0::87ce:a4a6:1fba:1e64]:878,0.00%,timeout ms
[2606:4700:d0::77d5:efea:d77f:e923]:878,0.00%,timeout ms
[2606:4700:d0::32b:910b:9bb4:2e93]:3854,0.00%,timeout ms
[2606:4700:d0::787b:25c3:ab60:6be8]:3854,0.00%,timeout ms
[2606:4700:d0::8848:86fb:4548:f07d]:3854,0.00%,timeout ms
[2606:4700:d0::787b:25c3:ab60:6be8]:878,0.00%,timeout ms
[2606:4700:d0::8848:86fb:4548:f07d]:878,0.00%,timeout ms
[2606:4700:d0::32b:910b:9bb4:2e93]:878,0.00%,timeout ms
[2606:4700:d0::88d2:d400:862d:5e02]:3854,0.00%,timeout ms
[2606:4700:d0::3401:f701:b5a4:f863]:3854,0.00%,timeout ms
[2606:4700:d0::7ebc:aa28:2d00:eb6b]:3854,0.00%,timeout ms
[2606:4700:d0::3401:f701:b5a4:f863]:878,0.00%,timeout ms
[2606:4700:d0::7ebc:aa28:2d00:eb6b]:878,0.00%,timeout ms
[2606:4700:d0::4b43:f35f:136f:41e2]:3854,0.00%,timeout ms
[2606:4700:d0::4b43:f35f:136f:41e2]:878,0.00%,timeout ms
[2606:4700:d0::34af:fd48:184c:3a09]:3854,0.00%,timeout ms
[2606:4700:d0::7ec6:6e67:40a2:10fa]:3854,0.00%,timeout ms
[2606:4700:d0::7ec6:6e67:40a2:10fa]:878,0.00%,timeout ms
[2606:4700:d0::34af:fd48:184c:3a09]:878,0.00%,timeout ms
[2606:4700:d0::5057:d3aa:3d76:81b8]:3854,0.00%,timeout ms
[2606:4700:d0::3bd9:e6cb:b453:195d]:3854,0.00%,timeout ms
[2606:4700:d0::82a8:febc:cc04:56ad]:3854,0.00%,timeout ms
[2606:4700:d0::5057:d3aa:3d76:81b8]:878,0.00%,timeout ms
[2606:4700:d0::3bd9:e6cb:b453:195d]:878,0.00%,timeout ms
[2606:4700:d0::40f7:de98:2ccc:6e76]:3854,0.00%,timeout ms
[2606:4700:d0::5526:3134:6ce1:5459]:3854,0.00%,timeout ms
[2606:4700:d0::40f7:de98:2ccc:6e76]:878,0.00%,timeout ms
[2606:4700:d0::c254:e747:c300:40ab]:3854,0.00%,timeout ms
[2606:4700:d0::5526:3134:6ce1:5459]:878,0.00%,timeout ms
[2606:4700:d0::8eb:9ded:1c1d:903e]:3854,0.00%,timeout ms
[2606:4700:d0::659:dbdc:f6f8:cbef]:3854,0.00%,timeout ms
[2606:4700:d0::a129:5ff0:48d7:1ee9]:3854,0.00%,timeout ms
[2606:4700:d0::f5cc:1df7:f724:238b]:3854,0.00%,timeout ms
[2606:4700:d0::a129:5ff0:48d7:1ee9]:878,0.00%,timeout ms
[2606:4700:d0::8eb:9ded:1c1d:903e]:878,0.00%,timeout ms
[2606:4700:d0::a716:538e:5460:b82f]:3854,0.00%,timeout ms
[2606:4700:d0::c254:e747:c300:40ab]:878,0.00%,timeout ms
[2606:4700:d0::8f83:d82c:8093:e06a]:3854,0.00%,timeout ms
[2606:4700:d0::a716:538e:5460:b82f]:878,0.00%,timeout ms
[2606:4700:d0::c34:f049:571f:4409]:3854,0.00%,timeout ms
[2606:4700:d0::8f83:d82c:8093:e06a]:878,0.00%,timeout ms
[2606:4700:d0::c34:f049:571f:4409]:878,0.00%,timeout ms
[2606:4700:d0::abe4:67b1:52aa:6168]:3854,0.00%,timeout ms
[2606:4700:d0::9251:9f73:8fa0:b0d7]:3854,0.00%,timeout ms
[2606:4700:d0::abe4:67b1:52aa:6168]:878,0.00%,timeout ms
[2606:4700:d0::c631:8284:f73f:7c8]:3854,0.00%,timeout ms
[2606:4700:d0::9251:9f73:8fa0:b0d7]:878,0.00%,timeout ms
[2606:4700:d0::b721:2ee2:dd4e:2ab3]:3854,0.00%,timeout ms
[2606:4700:d0::c631:8284:f73f:7c8]:878,0.00%,timeout ms
[2606:4700:d0::92cd:9f78:ec6d:1fe]:3854,0.00%,timeout ms
[2606:4700:d0::cced:7eaa:82b6:ccbd]:3854,0.00%,timeout ms
[2606:4700:d0::b721:2ee2:dd4e:2ab3]:878,0.00%,timeout ms
[2606:4700:d0::92cd:9f78:ec6d:1fe]:878,0.00%,timeout ms
[2606:4700:d0::cced:7eaa:82b6:ccbd]:878,0.00%,timeout ms
[2606:4700:d0::bab:9b3:466d:3539]:3854,0.00%,timeout ms
[2606:4700:d0::9750:3c56:8048:1a0c]:3854,0.00%,timeout ms
[2606:4700:d0::e524:49ed:3252:2ef6]:3854,0.00%,timeout ms
[2606:4700:d0::bab:9b3:466d:3539]:878,0.00%,timeout ms
[2606:4700:d0::9750:3c56:8048:1a0c]:878,0.00%,timeout ms
[2606:4700:d0::bd90:9630:ecd0:c2ee]:3854,0.00%,timeout ms
[2606:4700:d0::e524:49ed:3252:2ef6]:878,0.00%,timeout ms
[2606:4700:d0::a0ea:272f:8ca8:37d9]:3854,0.00%,timeout ms
[2606:4700:d0::eac7:58c1:526f:757f]:3854,0.00%,timeout ms
[2606:4700:d0::bd90:9630:ecd0:c2ee]:878,0.00%,timeout ms
[2606:4700:d0::a0ea:272f:8ca8:37d9]:878,0.00%,timeout ms
